name,ring,quadrant,isNew,description
Google Logging ,Adopt,Monitoring & Logging ,,
Google Monitoring,Adopt,Monitoring & Logging ,,
ELK,Adopt,Monitoring & Logging ,,
Prometheus Stack on K8s,Adopt,Monitoring & Logging ,,
Elasticsearch Stack on K8s,Adopt,Monitoring & Logging ,,
AWS Cloudwatch,Adopt,Monitoring & Logging ,,
prometheus,Adopt,Monitoring & Logging ,,
grafana,Adopt,Monitoring & Logging ,,
ELK,Adopt,Monitoring & Logging ,,
fluent-d,Adopt,Monitoring & Logging ,,
Thanos,Adopt,Monitoring & Logging ,,
Flow logs,Trial,Monitoring & Logging ,,
Google Cloud NAT,Adopt,Infrastructure ,,
Google network LB,Adopt,Infrastructure ,,
Google Manage Instances Group,Adopt,Infrastructure ,,
GCP VPC,Adopt,Infrastructure ,,
Dockers,Adopt,Infrastructure ,,
Nginx,Adopt,Infrastructure ,,
Cloud9,Adopt,Infrastructure ,,
EC2,Adopt,Infrastructure ,,
VPC,Adopt,Infrastructure ,,
ECR,Adopt,Infrastructure ,,
sagemaker,Adopt,Infrastructure ,,
AWS VPC,Adopt,Infrastructure ,,
AWS EKS,Adopt,Infrastructure ,,
AWS EC2,Adopt,Infrastructure ,,
Docker,Adopt,Infrastructure ,,
Kubernetes,Adopt,Infrastructure ,,
Rancher,Adopt,Infrastructure ,,
Aws Ec2,Adopt,Infrastructure ,,
AWS amplify,Adopt,Infrastructure ,,
Elastic LB,Adopt,Infrastructure ,,
AWS ASG,Adopt,Infrastructure ,,
kafka,Adopt,Infrastructure ,,
eks k8,Adopt,Infrastructure ,,
docker,Adopt,Infrastructure ,,
ec2,Adopt,Infrastructure ,,
Ambessedor,Adopt,Infrastructure ,,
oke k8,Adopt,Infrastructure ,,
oracle cloud,Adopt,Infrastructure ,,
Cloud Functions,Trial,Infrastructure ,,
Docker-compose,Trial,Infrastructure ,,
azure function app,Trial,Infrastructure ,,
Power BI,Trial,Infrastructure ,,
Azure synapse,Trial,Infrastructure ,,
azure stream analytics job,Assess,Infrastructure ,,
kustomize,Hold,Infrastructure ,,
Github,Adopt,CICD/Automation,,
Bash,Adopt,CICD/Automation,,
Jenkins,Adopt,CICD/Automation,,
Github Actions,Adopt,CICD/Automation,,
Github Container Registry,Adopt,CICD/Automation,,
ArgoCD,Adopt,CICD/Automation,,
AWS Codebuild,Adopt,CICD/Automation,,
AWS Codpipeline,Adopt,CICD/Automation,,
Terraform,Adopt,CICD/Automation,,
Helm charts,Adopt,CICD/Automation,,
spinneker,Adopt,CICD/Automation,,
Gitlab,Hold,CICD/Automation,,
Gitlab CI,Hold,CICD/Automation,,
Couchbase,Adopt,Data,,
GCP buckets,Adopt,Data,,
Redis,Adopt,Data,,
Google bigquery,Adopt,Data,,
Google bigtable,Adopt,Data,,
GCR,Adopt,Data,,
PostgressDB,Adopt,Data,,
AWS RDS,Adopt,Data,,
AWS Dynamodb,Adopt,Data,,
S3 buckets,Adopt,Data,,
azure eventhub,Adopt,Data,,
azure schema reg,Adopt,Data,,
Airbyte,Adopt,Data,,
MySQL,Adopt,Data,,
Amazon Redshift,Adopt,Data,,
AWS ECR,Adopt,Data,,
Zookeeper,Adopt,Data,,
Flink,Adopt,Data,,
Influxdb,Adopt,Data,,
Gitlab package registry,Adopt,Data,,
MongoDB,Adopt,Data,,
azure,Adopt,Data,,
Azure blob storage,Adopt,Data,,
stream analytics jobs,Adopt,Data,,
apache druid,Adopt,Data,,
imply data visualization,Adopt,Data,,
kafka,Adopt,Data,,
droid,Adopt,Data,,
kafka streams,Adopt,Data,,
EMQX,Adopt,Data,,
kafka-strimzi,Trial,Data,,
oracle streams,Assess,Data,,
colfluent-cloud,Assess,Data,,
confluent schema registry,Assess,Data,,
apache spark,Assess,Data,,
AWS timestream,Hold,Data,,
